,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-881200000.0,1056900000.0,3200000.0,-283646000.0,
Repurchase Of Capital Stock,,,,-2042000.0,
Repayment Of Debt,-216300000.0,-185900000.0,-18400000.0,-43474000.0,
Issuance Of Debt,,0.0,280200000.0,56907000.0,745557000.0
Issuance Of Capital Stock,6400000.0,2297100000.0,3100000.0,1320000.0,
Capital Expenditure,-1454400000.0,-1112300000.0,-503100000.0,-440077000.0,
End Cash Position,115500000.0,389900000.0,29100000.0,21835000.0,
Other Cash Adjustment Outside Changein Cash,,,,-193000.0,
Beginning Cash Position,389900000.0,29100000.0,21800000.0,43008000.0,
Changes In Cash,-274400000.0,360800000.0,7300000.0,-21173000.0,
Financing Cash Flow,-751000000.0,1644600000.0,196400000.0,-140983000.0,
Net Other Financing Charges,,,-53450000.0,,
Interest Paid Cff,-88600000.0,-94800000.0,-79300000.0,-50012000.0,
Cash Dividends Paid,-146100000.0,-106300000.0,-53400000.0,,-3000.0
Common Stock Dividend Paid,,,-53450000.0,0.0,-3000.0
Net Preferred Stock Issuance,0.0,2289600000.0,0.0,-2042000.0,
Preferred Stock Payments,,,,-2042000.0,
Preferred Stock Issuance,0.0,2289600000.0,0.0,,
Net Common Stock Issuance,6400000.0,7500000.0,3100000.0,1320000.0,
Common Stock Issuance,6400000.0,7500000.0,3100000.0,1320000.0,
Net Issuance Payments Of Debt,-216300000.0,-185900000.0,493500000.0,13433000.0,
Net Short Term Debt Issuance,-150000000.0,-119100000.0,231700000.0,56907000.0,
Short Term Debt Payments,-150000000.0,-119100000.0,,,-707434000.0
Short Term Debt Issuance,,,231701000.0,56907000.0,
Net Long Term Debt Issuance,-66300000.0,-66800000.0,261800000.0,-43474000.0,
Long Term Debt Payments,-66300000.0,-66800000.0,-18400000.0,-43474000.0,
Long Term Debt Issuance,,0.0,280200000.0,0.0,745557000.0
Investing Cash Flow,-96600000.0,-3453000000.0,-695400000.0,-36621000.0,
Interest Received Cfi,197400000.0,75100000.0,46800000.0,62658000.0,
Dividends Received Cfi,0.0,0.0,0.0,,
Net Investment Purchase And Sale,1154200000.0,-2421300000.0,-263700000.0,330380000.0,
Sale Of Investment,1497000000.0,,1262000.0,330380000.0,
Purchase Of Investment,-342800000.0,-2421300000.0,-265046000.0,,-925000000.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,
Purchase Of Business,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-1448200000.0,-1106800000.0,-478500000.0,-429659000.0,
Sale Of PPE,6200000.0,5500000.0,24600000.0,10418000.0,
Purchase Of PPE,-1454400000.0,-1112300000.0,-503100000.0,-440077000.0,
Operating Cash Flow,573200000.0,2169200000.0,506300000.0,156431000.0,
Taxes Refund Paid,-394800000.0,-551800000.0,-361000000.0,-26151000.0,
Change In Working Capital,-1332100000.0,-128300000.0,-1170900000.0,-451761000.0,
Change In Other Current Liabilities,42500000.0,34900000.0,48200000.0,29955000.0,
Change In Other Current Assets,-255800000.0,-15900000.0,-122700000.0,-52036000.0,
Change In Payable,475100000.0,-146700000.0,669900000.0,301748000.0,
Change In Inventory,-810100000.0,-30400000.0,-1202800000.0,-321350000.0,
Change In Receivables,-772600000.0,30400000.0,-554900000.0,-400189000.0,
Other Non Cash Items,-137600000.0,-1100000.0,8600000.0,-13717000.0,
Stock Based Compensation,26200000.0,39700000.0,46700000.0,1541000.0,
Provisionand Write Offof Assets,,,-3596000.0,-491000.0,-398000.0
Depreciation And Amortization,590600000.0,517900000.0,333100000.0,198907000.0,
Amortization Cash Flow,3300000.0,2400000.0,400000.0,,
Depreciation,587300000.0,515500000.0,332700000.0,198907000.0,
Gain Loss On Investment Securities,-38900000.0,-24000000.0,-1300000.0,,
Net Foreign Currency Exchange Gain Loss,4000000.0,5400000.0,-2200000.0,-530000.0,
Gain Loss On Sale Of PPE,4800000.0,2400000.0,-800000.0,10135000.0,
Net Income From Continuing Operations,1855700000.0,2301200000.0,1650400000.0,383931000.0,
